split,condition,method,controller,res,cond_res,subset,via,n,f1,mse,rmse,miou,sr,fid,pfid,musiq,niqe,maniqa,qalign,deqa,unipercept_iaa,unipercept_iqa,vqr1,psnr,ssim,lpips,dists
multigen5k,depth,pid_k24,fluxcn,2048,512,,,5000,,1059.127056410934,29.425641909069242,,,,,67.7128097831726,3.459682774622501,0.3181087409965694,4.0756513671875,,,,,,,,
multigen5k,canny,pid_k24,fluxcn,512,512,,,5000,0.6547353556495796,,,,,16.55364313247901,16.85942934606402,73.08412332458497,3.5624549228461837,0.6160100577473641,4.440649609375,4.08886875,75.3221,73.8911,4.558628,10.754829068374633,0.3521350794603897,0.5294340131312608,0.2515833003640175
multigen5k,depth,pid_k24,fluxcn,512,512,,,5000,,1093.1805806489458,29.880391903554973,,,21.6335968406799,21.043898308384996,70.95112201690674,3.332836363745041,0.48942616575807335,3.94397421875,,,,,9.617683919239044,0.2647145087194735,0.6482486686915159,0.2939507846713066
multigen5k,canny,pid_k28,fluxcn,2048,2048,,,5000,0.4660679574103021,,,,,,,,,,,,,,,,,,
multigen5k,canny,pid_k28,fluxcn,2048,512,,,5000,0.6543265173273257,,,,,,,69.3924869972229,3.3993560102687814,0.33118152936995027,4.438677734375,3.983836328125,70.5636,70.30335,4.455684,,,,
multigen5k,depth,pid_k28,fluxcn,2048,512,,,5000,,1058.8811153160411,29.35754614034103,,,,,61.87421041412353,3.9903088701927976,0.23198468749150633,3.752480078125,,,,,,,,
multigen5k,canny,pid_k28,fluxcn,512,512,,,5000,0.6589015062890792,,,,,16.17324841446799,16.197750217662076,72.32384935607911,3.7392062051130175,0.5544883044883608,4.351869921875,3.9510056640625,69.4914875,68.891225,4.442784,10.733348505234718,0.3654529235874041,0.5268594844028354,0.24626368376016616
multigen5k,depth,pid_k28,fluxcn,512,512,,,5000,,1093.5646013593257,29.822132046210427,,,21.828106353221813,21.58493320047728,69.47544759674072,3.3930776791255886,0.37447802393585444,3.58963984375,,,,,9.58574374332428,0.2738593406237594,0.6510422719687223,0.2930798388361931
multigen5k,canny,vae,fluxcn,2048,512,,upsampled_ref,5000,0.30479463343054447,,,,,,,,,,,,,,,,,,
multigen5k,canny,vae,fluxcn,2048,2048,,upsampled_ref,5000,0.12959865274691995,,,,,,,,,,,,,,,,,,
multigen5k,depth,vae,fluxcn,512,512,,,5000,,1102.913030698118,29.911737494688115,,,21.838188924333508,22.199912170926268,68.95758237533569,3.983304423774797,0.29421200997307895,3.378627734375,,,,,9.67676667509079,0.2829232651255516,0.6521651102244854,0.2952745197057724
multigen5k,canny,vae,fluxcn,512,512,,,5000,0.6564830970780136,,,,,16.52317489477275,18.027635171993893,71.885775730896,4.1255971165839584,0.4476483840703964,4.2563275390625,3.88697109375,64.5181875,65.6769,4.341612,10.811562484550477,0.3752539393918171,0.5252680702447892,0.2528428276658058
multigen5k,canny,vae,fluxcn,512,512,subset500,,500,0.6458583651683143,,,,,72.84153191994767,83.34761924632903,71.80499164581299,4.110981188528544,0.44419619189202786,4.2607109375,,,,,10.891448710441589,0.3829637332610033,0.5247433025240898,0.2514358869791031
multigen5k,depth,vae,fluxcn,512,512,subset500,,500,,1043.7965272938486,29.210244500476875,,,79.42671393468021,97.2757066848477,68.97566298675537,3.9986372079275405,0.2922351562008262,3.394880859375,,,,,9.720952304840088,0.29009435224837044,0.6529867132306099,0.2962484378814697
multigen5k,canny,vae,fluxcn_1024,512,512,subset500,,500,0.432591710944597,,,,,86.28436891090672,90.02660217659223,72.0630021057129,4.535043000847425,0.47633336125314235,4.096791015625,,,,,11.861647473335266,0.4122821764155866,0.5609827460944653,0.29901653480529783
multigen5k,depth,vae,fluxcn_1024,512,512,subset500,,500,,1204.4374816930465,31.1477305011199,,,96.53111901389349,105.24409285198175,67.13141061401367,6.210816908343215,0.2873269221484661,2.93889453125,,,,,11.268248176574707,0.36758717535834023,0.6833496459722519,0.3381600651741028
multigen5k,canny,condvae,omini,512,512,,,5000,0.7686590687419843,,,,,17.184580165204125,19.12435613078617,71.75136786117554,5.502791394881205,0.4640491648286581,4.025529296875,,,,,12.06732564356327,0.44832610510369614,0.5036050626918673,0.27667978149652483
multigen5k,depth,condvae,omini,512,512,,,5000,,715.3634897930518,23.81774064995378,,,20.498421941267054,21.297953732713154,72.21330468139648,4.930955572490195,0.4513625787571073,4.1132044921875,,,,,11.374161614513397,0.3814014136672671,0.6180685863524675,0.3013984206676483
multigen5k,canny,condvae_ft,omini,512,512,,,5000,0.7697721652580338,,,,,17.300764371718685,18.545860026139223,71.80035189437866,5.375110217694748,0.45959792497158053,3.99120078125,,,,,12.066382642316817,0.4486780598713434,0.5052156831160187,0.27508003246784213
multigen5k,depth,condvae_ft,omini,512,512,,,5000,,715.8425122772277,23.82803541808857,,,20.49969500318872,21.44096047557889,72.21377737121583,5.06927605579269,0.45225884805470706,4.11974765625,,,,,11.382203747367859,0.3811584517053133,0.6198082770854235,0.302066793525219
multigen5k,canny,condvae_mod,omini,512,512,,,5000,0.7660437771888523,,,,,17.032071202036434,18.932743380352463,71.76193578720093,5.430469505618888,0.47112124460339544,4.0402904296875,,,,,12.069362185096741,0.45177582147359935,0.5024584727659821,0.27532794884443285
multigen5k,depth,condvae_mod,omini,512,512,,,5000,,715.8129348962186,23.826571923652676,,,20.418098372843588,22.095751492167096,72.18742531204224,5.324660867646907,0.4535030046194792,4.1367853515625,,,,,11.379965686416625,0.3801364126425317,0.6173596703827381,0.3042735169053078
multigen5k,canny,pid_k16,omini,2048,2048,,,5000,0.43505745378223654,,,,,,,,,,,,,,,,,,
multigen5k,canny,pid_k16,omini,2048,2048,subset500,,500,0.4319386844595116,,,,,,,,,,,,,,,,,,
multigen5k,canny,pid_k16,omini,2048,512,,,5000,0.5718910058853922,,,,,,,74.6180346206665,3.0089202992377375,0.4326032889664173,4.6917484375,4.316644921875,78.17115,78.49975,4.712566,,,,
multigen5k,canny,pid_k16,omini,2048,512,subset500,,500,0.570972558098638,,,,,,,74.6736845855713,3.02317604381919,0.4315543512701988,4.709296875,,,,,,,,
multigen5k,depth,pid_k16,omini,2048,512,,,5000,,1085.3561100490142,30.310201215367623,,,,,74.39466430053712,3.073556139637025,0.4271670779377222,4.6802623046875,,,,,,,,
multigen5k,depth,pid_k16,omini,2048,512,subset500,,500,,1010.3424704358993,29.369572283794287,,,,,74.38133358001708,3.0581265837603233,0.4256539213359356,4.69624609375,,,,,,,,
multigen5k,canny,pid_k16,omini,512,512,,,5000,0.5482558598161249,,,,,26.307496042908838,27.03518838647085,74.73117242965698,4.044978041288654,0.6818799885690212,4.6449591796875,4.320878515625,78.2382,78.13605,4.691692,11.75404290971756,0.3448213629889361,0.6005188584595919,0.2902540148258209
multigen5k,canny,pid_k16,omini,512,512,subset500,,500,0.5460844483843512,,,,,93.98617763482213,97.67209359130464,74.760248046875,4.027385470281448,0.6770341839194298,4.6628359375,,,,,11.823104645729066,0.35183902595840344,0.5991922109425067,0.28907264268398286
multigen5k,depth,pid_k16,omini,512,512,,,5000,,1121.465396390597,30.803321768521215,,,26.23770657825412,26.847333234205394,74.6431818473816,3.9835837432118715,0.664909894579649,4.6295953125,,,,,11.345523977279663,0.3292370151031921,0.6419713566929102,0.2996557703256607
multigen5k,depth,pid_k16,omini,512,512,subset500,,500,,1045.83730090383,29.84910172321336,,,93.93429952388868,97.19535361289275,74.60191679382324,3.99904126453327,0.6583484445214272,4.6431640625,,,,,11.410435952186585,0.3367423880922026,0.640020486652851,0.29830686473846435
multigen5k,canny,pid_k24,omini,2048,2048,,,5000,0.5138476314153525,,,,,,,,,,,,,,,,,,
multigen5k,canny,pid_k24,omini,2048,2048,subset500,,500,0.5100905437374091,,,,,,,,,,,,,,,,,,
multigen5k,canny,pid_k24,omini,2048,512,,,5000,0.6687378936750347,,,,,,,72.87136156158448,3.2324890642861837,0.41895205335915087,4.4958587890625,4.1294046875,77.2278,76.284725,4.62692,,,,
